------------------------------------------------------------
Server listening on TCP port 8002 with pid 4458
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  4] local 192.168.0.12 port 8002 connected with 192.168.0.11 port 49153
[ ID] Interval        Transfer    Bandwidth       Reads   Dist(bin=16.0K)
[  4] 0.00-0.10 sec  2.18 MBytes   183 Mbits/sec  932    932:0:0:0:0:0:0:0
[  4] 0.10-0.20 sec  3.20 MBytes   268 Mbits/sec  1250    1250:0:0:0:0:0:0:0
[  4] 0.20-0.30 sec  4.11 MBytes   345 Mbits/sec  1370    1370:0:0:0:0:0:0:0
[  4] 0.30-0.40 sec  4.67 MBytes   391 Mbits/sec  1440    1440:0:0:0:0:0:0:0
[  4] 0.40-0.50 sec  5.31 MBytes   445 Mbits/sec  623    535:88:0:0:0:0:0:0
[  4] 0.50-0.60 sec  5.53 MBytes   464 Mbits/sec  397    263:134:0:0:0:0:0:0
[  4] 0.60-0.70 sec  5.45 MBytes   457 Mbits/sec  394    275:119:0:0:0:0:0:0
[  4] 0.70-0.80 sec  5.47 MBytes   459 Mbits/sec  396    270:126:0:0:0:0:0:0
[  4] 0.80-0.90 sec  5.45 MBytes   457 Mbits/sec  392    263:129:0:0:0:0:0:0
[  4] 0.90-1.00 sec  5.46 MBytes   458 Mbits/sec  396    274:122:0:0:0:0:0:0
[  4] 1.00-1.10 sec  5.47 MBytes   459 Mbits/sec  396    274:122:0:0:0:0:0:0
[  4] 1.10-1.20 sec  5.46 MBytes   458 Mbits/sec  394    281:113:0:0:0:0:0:0
[  4] 1.20-1.30 sec  5.42 MBytes   455 Mbits/sec  397    279:118:0:0:0:0:0:0
[  4] 1.30-1.40 sec  5.44 MBytes   456 Mbits/sec  395    281:114:0:0:0:0:0:0
[  4] 1.40-1.50 sec  5.46 MBytes   458 Mbits/sec  396    267:129:0:0:0:0:0:0
[  4] 1.50-1.60 sec  5.45 MBytes   458 Mbits/sec  399    268:131:0:0:0:0:0:0
[  4] 1.60-1.70 sec  5.48 MBytes   460 Mbits/sec  394    275:119:0:0:0:0:0:0
[  4] 1.70-1.80 sec  5.48 MBytes   459 Mbits/sec  396    285:111:0:0:0:0:0:0
[  4] 1.80-1.90 sec  5.44 MBytes   456 Mbits/sec  395    271:124:0:0:0:0:0:0
[  4] 1.90-2.00 sec  5.46 MBytes   458 Mbits/sec  398    273:125:0:0:0:0:0:0
[  4] 2.00-2.10 sec  5.41 MBytes   454 Mbits/sec  391    269:122:0:0:0:0:0:0
[  4] 2.10-2.20 sec  5.38 MBytes   452 Mbits/sec  394    284:110:0:0:0:0:0:0
[  4] 2.20-2.30 sec  5.38 MBytes   452 Mbits/sec  395    289:106:0:0:0:0:0:0
[  4] 2.30-2.40 sec  5.39 MBytes   452 Mbits/sec  393    272:121:0:0:0:0:0:0
[  4] 2.40-2.50 sec  5.19 MBytes   435 Mbits/sec  391    308:83:0:0:0:0:0:0
[  4] 2.50-2.60 sec  5.26 MBytes   441 Mbits/sec  386    294:92:0:0:0:0:0:0
[  4] 2.60-2.70 sec  5.30 MBytes   445 Mbits/sec  392    296:96:0:0:0:0:0:0
[  4] 2.70-2.80 sec  5.27 MBytes   442 Mbits/sec  398    314:84:0:0:0:0:0:0
[  4] 2.80-2.90 sec  5.32 MBytes   447 Mbits/sec  399    309:90:0:0:0:0:0:0
[  4] 2.90-3.00 sec  5.44 MBytes   456 Mbits/sec  397    290:107:0:0:0:0:0:0
[  4] 3.00-3.10 sec  5.41 MBytes   454 Mbits/sec  394    287:107:0:0:0:0:0:0
[  4] 3.10-3.20 sec  5.41 MBytes   454 Mbits/sec  397    265:132:0:0:0:0:0:0
[  4] 3.20-3.30 sec  5.40 MBytes   453 Mbits/sec  396    274:122:0:0:0:0:0:0
[  4] 3.30-3.40 sec  5.42 MBytes   454 Mbits/sec  395    274:121:0:0:0:0:0:0
[  4] 3.40-3.50 sec  5.41 MBytes   454 Mbits/sec  392    271:121:0:0:0:0:0:0
[  4] 3.50-3.60 sec  5.44 MBytes   456 Mbits/sec  394    276:118:0:0:0:0:0:0
[  4] 3.60-3.70 sec  5.42 MBytes   455 Mbits/sec  394    289:105:0:0:0:0:0:0
[  4] 3.70-3.80 sec  5.46 MBytes   458 Mbits/sec  398    285:113:0:0:0:0:0:0
[  4] 3.80-3.90 sec  5.43 MBytes   456 Mbits/sec  398    278:120:0:0:0:0:0:0
[  4] 3.90-4.00 sec  5.43 MBytes   456 Mbits/sec  396    281:115:0:0:0:0:0:0
[  4] 4.00-4.10 sec  5.42 MBytes   455 Mbits/sec  398    280:118:0:0:0:0:0:0
[  4] 4.10-4.20 sec  5.44 MBytes   456 Mbits/sec  395    280:115:0:0:0:0:0:0
[  4] 4.20-4.30 sec  5.38 MBytes   451 Mbits/sec  396    290:106:0:0:0:0:0:0
[  4] 4.30-4.40 sec  5.41 MBytes   454 Mbits/sec  396    290:106:0:0:0:0:0:0
[  4] 4.40-4.50 sec  5.43 MBytes   455 Mbits/sec  396    289:107:0:0:0:0:0:0
[  4] 4.50-4.60 sec  5.44 MBytes   456 Mbits/sec  394    287:107:0:0:0:0:0:0
[  4] 4.60-4.70 sec  5.43 MBytes   456 Mbits/sec  396    286:110:0:0:0:0:0:0
[  4] 4.70-4.80 sec  5.45 MBytes   457 Mbits/sec  397    282:115:0:0:0:0:0:0
[  4] 4.80-4.90 sec  5.39 MBytes   452 Mbits/sec  399    293:106:0:0:0:0:0:0
[  4] 4.90-5.00 sec  5.42 MBytes   455 Mbits/sec  399    287:112:0:0:0:0:0:0
[  4] 5.00-5.10 sec  5.43 MBytes   456 Mbits/sec  398    304:94:0:0:0:0:0:0
[  4] 5.10-5.20 sec  5.42 MBytes   454 Mbits/sec  398    283:115:0:0:0:0:0:0
[  4] 5.20-5.30 sec  5.42 MBytes   455 Mbits/sec  394    270:124:0:0:0:0:0:0
[  4] 5.30-5.40 sec  5.43 MBytes   455 Mbits/sec  396    281:115:0:0:0:0:0:0
[  4] 5.40-5.50 sec  5.43 MBytes   456 Mbits/sec  393    278:115:0:0:0:0:0:0
[  4] 5.50-5.60 sec  5.44 MBytes   457 Mbits/sec  393    276:117:0:0:0:0:0:0
[  4] 5.60-5.70 sec  5.42 MBytes   455 Mbits/sec  395    283:112:0:0:0:0:0:0
[  4] 5.70-5.80 sec  5.43 MBytes   455 Mbits/sec  395    279:116:0:0:0:0:0:0
[  4] 5.80-5.90 sec  5.44 MBytes   456 Mbits/sec  397    266:131:0:0:0:0:0:0
[  4] 5.90-6.00 sec  5.29 MBytes   444 Mbits/sec  622    527:95:0:0:0:0:0:0
[  4] 6.00-6.10 sec  4.75 MBytes   398 Mbits/sec  1301    1300:1:0:0:0:0:0:0
[  4] 6.10-6.20 sec  5.43 MBytes   455 Mbits/sec  397    283:114:0:0:0:0:0:0
[  4] 6.20-6.30 sec  5.42 MBytes   455 Mbits/sec  395    283:112:0:0:0:0:0:0
[  4] 6.30-6.40 sec  5.42 MBytes   454 Mbits/sec  393    272:121:0:0:0:0:0:0
[  4] 6.40-6.50 sec  5.42 MBytes   454 Mbits/sec  393    280:113:0:0:0:0:0:0
[  4] 6.50-6.60 sec  5.40 MBytes   453 Mbits/sec  396    270:126:0:0:0:0:0:0
[  4] 6.60-6.70 sec  5.44 MBytes   457 Mbits/sec  396    270:126:0:0:0:0:0:0
[  4] 6.70-6.80 sec  5.43 MBytes   456 Mbits/sec  396    289:107:0:0:0:0:0:0
[  4] 6.80-6.90 sec  5.41 MBytes   454 Mbits/sec  398    295:103:0:0:0:0:0:0
[  4] 6.90-7.00 sec  5.40 MBytes   453 Mbits/sec  399    283:116:0:0:0:0:0:0
[  4] 7.00-7.10 sec   611 KBytes  50.1 Mbits/sec  45    36:9:0:0:0:0:0:0
[  4] 7.10-7.20 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 7.20-7.30 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 7.30-7.40 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 7.40-7.50 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 7.50-7.60 sec   127 KBytes  10.4 Mbits/sec  51    51:0:0:0:0:0:0:0
[  4] 7.60-7.70 sec  4.10 KBytes   336 Kbits/sec  2    2:0:0:0:0:0:0:0
[  4] 7.70-7.80 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 7.80-7.90 sec  4.10 KBytes   336 Kbits/sec  1    1:0:0:0:0:0:0:0
[  4] 7.90-8.00 sec   127 KBytes  10.4 Mbits/sec  51    51:0:0:0:0:0:0:0
[  4] 8.00-8.10 sec  2.54 MBytes   213 Mbits/sec  979    979:0:0:0:0:0:0:0
[  4] 8.10-8.20 sec  3.91 MBytes   328 Mbits/sec  1395    1395:0:0:0:0:0:0:0
[  4] 8.20-8.30 sec  4.49 MBytes   377 Mbits/sec  1493    1493:0:0:0:0:0:0:0
[  4] 8.30-8.40 sec  4.58 MBytes   384 Mbits/sec  1451    1451:0:0:0:0:0:0:0
[  4] 8.40-8.50 sec  4.59 MBytes   385 Mbits/sec  1343    1343:0:0:0:0:0:0:0
[  4] 8.50-8.60 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 8.60-8.70 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 8.70-8.80 sec   134 KBytes  11.0 Mbits/sec  30    30:0:0:0:0:0:0:0
[  4] 8.80-8.90 sec  2.65 MBytes   223 Mbits/sec  1037    1037:0:0:0:0:0:0:0
[  4] 8.90-9.00 sec  4.07 MBytes   342 Mbits/sec  1361    1361:0:0:0:0:0:0:0
[  4] 9.00-9.10 sec  4.70 MBytes   395 Mbits/sec  1366    1366:0:0:0:0:0:0:0
[  4] 9.10-9.20 sec  5.14 MBytes   431 Mbits/sec  550    489:61:0:0:0:0:0:0
[  4] 9.20-9.30 sec  5.35 MBytes   449 Mbits/sec  398    310:88:0:0:0:0:0:0
[  4] 9.30-9.40 sec  5.31 MBytes   445 Mbits/sec  395    308:87:0:0:0:0:0:0
[  4] 9.40-9.50 sec  5.30 MBytes   445 Mbits/sec  395    304:91:0:0:0:0:0:0
[  4] 9.50-9.60 sec  5.34 MBytes   448 Mbits/sec  393    305:88:0:0:0:0:0:0
[  4] 9.60-9.70 sec  5.34 MBytes   448 Mbits/sec  397    295:102:0:0:0:0:0:0
[  4] 9.70-9.80 sec  5.35 MBytes   449 Mbits/sec  395    289:106:0:0:0:0:0:0
[  4] 9.80-9.90 sec  5.37 MBytes   450 Mbits/sec  396    285:111:0:0:0:0:0:0
[  4] 9.90-10.00 sec  5.36 MBytes   450 Mbits/sec  395    294:101:0:0:0:0:0:0
[  4] 10.00-10.10 sec  5.21 MBytes   437 Mbits/sec  396    301:95:0:0:0:0:0:0
[  4] 10.10-10.20 sec  5.33 MBytes   447 Mbits/sec  397    285:112:0:0:0:0:0:0
[  4] 10.20-10.30 sec  5.36 MBytes   450 Mbits/sec  396    287:109:0:0:0:0:0:0
[  4] 10.30-10.40 sec  5.35 MBytes   448 Mbits/sec  394    281:113:0:0:0:0:0:0
[  4] 10.40-10.50 sec  5.33 MBytes   447 Mbits/sec  391    281:110:0:0:0:0:0:0
[  4] 10.50-10.60 sec  5.34 MBytes   448 Mbits/sec  393    287:106:0:0:0:0:0:0
[  4] 10.60-10.70 sec  5.32 MBytes   446 Mbits/sec  389    281:108:0:0:0:0:0:0
[  4] 10.70-10.80 sec  5.31 MBytes   446 Mbits/sec  393    286:107:0:0:0:0:0:0
[  4] 10.80-10.90 sec  5.35 MBytes   449 Mbits/sec  396    294:102:0:0:0:0:0:0
[  4] 10.90-11.00 sec  5.35 MBytes   449 Mbits/sec  394    277:117:0:0:0:0:0:0
[  4] 11.00-11.10 sec  5.37 MBytes   450 Mbits/sec  397    306:91:0:0:0:0:0:0
[  4] 11.10-11.20 sec  5.35 MBytes   449 Mbits/sec  394    287:107:0:0:0:0:0:0
[  4] 11.20-11.30 sec  5.31 MBytes   446 Mbits/sec  389    278:111:0:0:0:0:0:0
[  4] 11.30-11.40 sec  5.33 MBytes   447 Mbits/sec  391    281:110:0:0:0:0:0:0
[  4] 11.40-11.50 sec  5.35 MBytes   449 Mbits/sec  392    270:122:0:0:0:0:0:0
