------------------------------------------------------------
Server listening on TCP port 8000 with pid 5305
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  4] local 192.168.0.12 port 8000 connected with 192.168.0.11 port 49153
[ ID] Interval        Transfer    Bandwidth       Reads   Dist(bin=16.0K)
[  4] 0.00-0.10 sec  3.26 MBytes   273 Mbits/sec  170    69:91:10:0:0:0:0:0
[  4] 0.10-0.20 sec  7.23 MBytes   606 Mbits/sec  378    155:208:15:0:0:0:0:0
[  4] 0.20-0.30 sec  7.23 MBytes   607 Mbits/sec  350    118:210:22:0:0:0:0:0
[  4] 0.30-0.40 sec  7.26 MBytes   609 Mbits/sec  345    109:214:22:0:0:0:0:0
[  4] 0.40-0.50 sec  7.30 MBytes   612 Mbits/sec  328    88:217:23:0:0:0:0:0
[  4] 0.50-0.60 sec  7.26 MBytes   609 Mbits/sec  347    114:219:14:0:0:0:0:0
[  4] 0.60-0.70 sec  7.27 MBytes   610 Mbits/sec  352    124:204:24:0:0:0:0:0
[  4] 0.70-0.80 sec  7.18 MBytes   602 Mbits/sec  348    120:207:21:0:0:0:0:0
[  4] 0.80-0.90 sec  7.26 MBytes   609 Mbits/sec  354    122:218:14:0:0:0:0:0
[  4] 0.90-1.00 sec  7.21 MBytes   605 Mbits/sec  350    123:206:20:1:0:0:0:0
[  4] 1.00-1.10 sec  7.15 MBytes   600 Mbits/sec  349    121:208:20:0:0:0:0:0
[  4] 1.10-1.20 sec  7.15 MBytes   599 Mbits/sec  349    117:211:21:0:0:0:0:0
[  4] 1.20-1.30 sec  7.02 MBytes   589 Mbits/sec  349    126:208:15:0:0:0:0:0
[  4] 1.30-1.40 sec  6.31 MBytes   529 Mbits/sec  924    865:52:7:0:0:0:0:0
[  4] 1.40-1.50 sec  5.90 MBytes   495 Mbits/sec  1097    1097:0:0:0:0:0:0:0
[  4] 1.50-1.60 sec  65.6 KBytes  5.38 Mbits/sec  11    11:0:0:0:0:0:0:0
[  4] 1.60-1.70 sec  5.43 MBytes   456 Mbits/sec  958    947:9:2:0:0:0:0:0
[  4] 1.70-1.80 sec  6.06 MBytes   509 Mbits/sec  1081    1070:10:1:0:0:0:0:0
[  4] 1.80-1.90 sec  6.55 MBytes   550 Mbits/sec  723    609:107:7:0:0:0:0:0
[  4] 1.90-2.00 sec  7.09 MBytes   595 Mbits/sec  351    133:208:10:0:0:0:0:0
[  4] 2.00-2.10 sec  7.15 MBytes   600 Mbits/sec  356    133:210:13:0:0:0:0:0
[  4] 2.10-2.20 sec  7.12 MBytes   597 Mbits/sec  365    148:197:20:0:0:0:0:0
[  4] 2.20-2.30 sec  7.07 MBytes   593 Mbits/sec  346    120:203:23:0:0:0:0:0
[  4] 2.30-2.40 sec  7.06 MBytes   592 Mbits/sec  357    135:199:23:0:0:0:0:0
[  4] 2.40-2.50 sec  6.58 MBytes   552 Mbits/sec  687    560:119:8:0:0:0:0:0
[  4] 2.50-2.60 sec  7.09 MBytes   595 Mbits/sec  357    133:209:15:0:0:0:0:0
[  4] 2.60-2.70 sec  7.07 MBytes   593 Mbits/sec  358    135:201:22:0:0:0:0:0
[  4] 2.70-2.80 sec  7.09 MBytes   595 Mbits/sec  352    129:201:22:0:0:0:0:0
[  4] 2.80-2.90 sec  7.09 MBytes   595 Mbits/sec  326    90:208:28:0:0:0:0:0
[  4] 2.90-3.00 sec  7.13 MBytes   598 Mbits/sec  343    112:204:27:0:0:0:0:0
[  4] 3.00-3.10 sec  7.15 MBytes   600 Mbits/sec  335    102:200:33:0:0:0:0:0
[  4] 3.10-3.20 sec  7.12 MBytes   597 Mbits/sec  347    122:203:22:0:0:0:0:0
[  4] 3.20-3.30 sec  7.07 MBytes   593 Mbits/sec  350    127:202:21:0:0:0:0:0
[  4] 3.30-3.40 sec  7.12 MBytes   597 Mbits/sec  346    113:205:28:0:0:0:0:0
[  4] 3.40-3.50 sec  7.06 MBytes   592 Mbits/sec  352    129:200:23:0:0:0:0:0
[  4] 3.50-3.60 sec  7.10 MBytes   596 Mbits/sec  350    128:192:30:0:0:0:0:0
[  4] 3.60-3.70 sec  7.09 MBytes   594 Mbits/sec  339    110:203:26:0:0:0:0:0
[  4] 3.70-3.80 sec  7.10 MBytes   595 Mbits/sec  359    140:192:27:0:0:0:0:0
[  4] 3.80-3.90 sec  7.13 MBytes   598 Mbits/sec  347    121:205:21:0:0:0:0:0
[  4] 3.90-4.00 sec  7.13 MBytes   598 Mbits/sec  346    115:214:17:0:0:0:0:0
[  4] 4.00-4.10 sec  7.15 MBytes   600 Mbits/sec  349    119:205:25:0:0:0:0:0
[  4] 4.10-4.20 sec  7.12 MBytes   597 Mbits/sec  360    134:207:19:0:0:0:0:0
[  4] 4.20-4.30 sec  6.99 MBytes   587 Mbits/sec  350    130:193:27:0:0:0:0:0
[  4] 4.30-4.40 sec  7.07 MBytes   593 Mbits/sec  348    124:206:18:0:0:0:0:0
[  4] 4.40-4.50 sec  7.10 MBytes   596 Mbits/sec  349    122:208:19:0:0:0:0:0
[  4] 4.50-4.60 sec  7.08 MBytes   594 Mbits/sec  359    140:200:19:0:0:0:0:0
[  4] 4.60-4.70 sec  7.08 MBytes   594 Mbits/sec  361    141:203:17:0:0:0:0:0
[  4] 4.70-4.80 sec  7.11 MBytes   597 Mbits/sec  358    140:201:17:0:0:0:0:0
[  4] 4.80-4.90 sec  7.07 MBytes   593 Mbits/sec  361    145:204:12:0:0:0:0:0
[  4] 4.90-5.00 sec  7.12 MBytes   597 Mbits/sec  356    126:215:15:0:0:0:0:0
[  4] 5.00-5.10 sec  7.10 MBytes   596 Mbits/sec  349    124:206:19:0:0:0:0:0
[  4] 5.10-5.20 sec  7.12 MBytes   597 Mbits/sec  348    124:203:21:0:0:0:0:0
[  4] 5.20-5.30 sec  7.11 MBytes   597 Mbits/sec  351    124:208:19:0:0:0:0:0
[  4] 5.30-5.40 sec  6.70 MBytes   562 Mbits/sec  638    498:126:14:0:0:0:0:0
[  4] 5.40-5.50 sec  6.06 MBytes   509 Mbits/sec  1133    1133:0:0:0:0:0:0:0
[  4] 5.50-5.60 sec  6.05 MBytes   507 Mbits/sec  1111    1107:4:0:0:0:0:0:0
[  4] 5.60-5.70 sec  5.99 MBytes   503 Mbits/sec  1115    1115:0:0:0:0:0:0:0
[  4] 5.70-5.80 sec  5.72 MBytes   480 Mbits/sec  585    473:100:12:0:0:0:0:0
[  4] 5.80-5.90 sec  7.08 MBytes   594 Mbits/sec  349    125:195:29:0:0:0:0:0
[  4] 5.90-6.00 sec  7.07 MBytes   593 Mbits/sec  346    120:198:28:0:0:0:0:0
[  4] 6.00-6.10 sec  7.05 MBytes   592 Mbits/sec  352    130:195:27:0:0:0:0:0
[  4] 6.10-6.20 sec  7.10 MBytes   596 Mbits/sec  359    140:200:19:0:0:0:0:0
[  4] 6.20-6.30 sec  7.06 MBytes   592 Mbits/sec  357    135:200:22:0:0:0:0:0
[  4] 6.30-6.40 sec  7.04 MBytes   591 Mbits/sec  365    150:196:19:0:0:0:0:0
[  4] 6.40-6.50 sec  7.01 MBytes   588 Mbits/sec  350    130:203:17:0:0:0:0:0
[  4] 6.50-6.60 sec  6.99 MBytes   587 Mbits/sec  334    112:197:25:0:0:0:0:0
[  4] 6.60-6.70 sec  1.76 MBytes   148 Mbits/sec  92    40:47:5:0:0:0:0:0
[  4] 6.70-6.80 sec  17.8 KBytes  1.46 Mbits/sec  1    0:1:0:0:0:0:0:0
[  4] 6.80-6.90 sec  5.02 MBytes   421 Mbits/sec  611    531:73:7:0:0:0:0:0
[  4] 6.90-7.00 sec  6.33 MBytes   531 Mbits/sec  698    589:98:11:0:0:0:0:0
[  4] 7.00-7.10 sec  6.92 MBytes   581 Mbits/sec  338    117:205:16:0:0:0:0:0
[  4] 7.10-7.20 sec  6.92 MBytes   580 Mbits/sec  346    123:202:21:0:0:0:0:0
[  4] 7.20-7.30 sec  7.01 MBytes   588 Mbits/sec  352    135:201:16:0:0:0:0:0
[  4] 7.30-7.40 sec  7.01 MBytes   588 Mbits/sec  343    122:196:25:0:0:0:0:0
[  4] 7.40-7.50 sec  7.01 MBytes   588 Mbits/sec  340    121:190:29:0:0:0:0:0
[  4] 7.50-7.60 sec  7.04 MBytes   590 Mbits/sec  347    122:211:14:0:0:0:0:0
[  4] 7.60-7.70 sec  7.04 MBytes   590 Mbits/sec  347    123:205:19:0:0:0:0:0
[  4] 7.70-7.80 sec  4.96 MBytes   416 Mbits/sec  238    78:146:14:0:0:0:0:0
[  4] 7.80-7.90 sec  23.2 KBytes  1.90 Mbits/sec  1    0:1:0:0:0:0:0:0
[  4] 7.90-8.00 sec  5.83 MBytes   489 Mbits/sec  292    107:171:14:0:0:0:0:0
[  4] 8.00-8.10 sec  6.89 MBytes   578 Mbits/sec  339    119:203:17:0:0:0:0:0
[  4] 8.10-8.20 sec  6.36 MBytes   534 Mbits/sec  689    574:106:8:1:0:0:0:0
[  4] 8.20-8.30 sec  6.44 MBytes   540 Mbits/sec  735    631:95:9:0:0:0:0:0
[  4] 8.30-8.40 sec  6.13 MBytes   514 Mbits/sec  932    883:45:4:0:0:0:0:0
[  4] 8.40-8.50 sec  2.90 MBytes   243 Mbits/sec  540    540:0:0:0:0:0:0:0
[  4] 8.50-8.60 sec  8.20 KBytes   672 Kbits/sec  1    1:0:0:0:0:0:0:0
[  4] 8.60-8.70 sec  5.20 MBytes   436 Mbits/sec  251    87:144:20:0:0:0:0:0
[  4] 8.70-8.80 sec  7.06 MBytes   592 Mbits/sec  339    117:205:17:0:0:0:0:0
[  4] 8.80-8.90 sec  7.04 MBytes   590 Mbits/sec  325    89:211:25:0:0:0:0:0
[  4] 8.90-9.00 sec  6.64 MBytes   557 Mbits/sec  708    580:116:11:1:0:0:0:0
[  4] 9.00-9.10 sec  5.96 MBytes   500 Mbits/sec  1099    1098:1:0:0:0:0:0:0
[  4] 9.10-9.20 sec  5.81 MBytes   487 Mbits/sec  1081    1081:0:0:0:0:0:0:0
[  4] 9.20-9.30 sec  6.40 MBytes   537 Mbits/sec  736    630:99:7:0:0:0:0:0
[  4] 9.30-9.40 sec  6.84 MBytes   573 Mbits/sec  334    116:198:20:0:0:0:0:0
[  4] 9.40-9.50 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 9.50-9.60 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 9.60-9.70 sec   644 KBytes  52.8 Mbits/sec  27    6:19:2:0:0:0:0:0
[  4] 9.70-9.80 sec  7.03 MBytes   590 Mbits/sec  320    83:213:24:0:0:0:0:0
[  4] 9.80-9.90 sec  7.05 MBytes   591 Mbits/sec  329    97:216:16:0:0:0:0:0
[  4] 9.90-10.00 sec  6.52 MBytes   547 Mbits/sec  683    557:114:11:1:0:0:0:0
[  4] 10.00-10.10 sec  5.98 MBytes   502 Mbits/sec  1113    1113:0:0:0:0:0:0:0
[  4] 10.10-10.20 sec  6.37 MBytes   534 Mbits/sec  745    643:93:9:0:0:0:0:0
[  4] 10.20-10.30 sec  6.87 MBytes   576 Mbits/sec  334    115:197:22:0:0:0:0:0
[  4] 10.30-10.40 sec  6.86 MBytes   576 Mbits/sec  341    121:199:21:0:0:0:0:0
