100		99.9		102 		101 		100 		100
99.9		100		98.8 		98.8 		100 		100
100		100		101 		101 		99.7 		100
100		99.9		101 		98.8 		100 		100
99.9		99.9		98.8 		101 		99.7 		99.9
100		100		101 		101 		100 		100
99.9		100		98.8 		98.8 		100 		100
100		99.9		101 		101 		100 		99.9
100		99.9		101 		98.9 		99.7 		100
100		100		98.8 		101 		100 		99.9
100		100		101 		101 		100 		100
100		99.9		98.8 		98.8 		100 		100
99.9		100		101 		101 		100 		100
100		99.9		101 		101 		100 		100
100		99.9		98.8 		98.8 		100 		99.9
100		100		101 		101 		100 		100
100		100		98.8 		98.8 		99.8 		100
100		100		101 		101 		100 		100
100		100		101 		101 		99.8 		100
100		100		98.8 		98.8 		100 		99.9
100		99.9		101 		101 		100 		100
99.9		99.9		98.8 		98.8 		99.8 		100
100		100		101 		101 		100 		100
100		100		101 		101 		99.8 		100
100		99.9		98.8 		98.8 		100 		100
100		100		101 		101 		99.9 		100
100		100		98.8 		98.8 		100 		99.9
100		100		101 		101 		100 		100
99.9		100		101 		101 		99.9 		100
100		99.9		98.8 		98.8 		100 		100
99.9		100		101 		101 		100 		100
100		100		98.8 		98.8 		99.9 		100
100		100		101 		101 		99.8 		100
100		100		101 		101 		100 		99.9
100		99.9		98.8 		98.8 		100 		100
99.9		100		101 		101 		99.9 		99.9
100		99.9		98.8 		98.8 		100 		100
99.9		100		101 		101 		100 		100
100		99.9		101 		101 		100 		100
99.9		100		98.8 		98.8 		95.3 		100
100		100		101 		101 		100 		99.9
100		99.9		98.8 		98.8 		99.9 		100
100		100		101 		101 		100 		100
99.9		100		101 		101 		99.9 		100
100		100		98.8 		98.8 		100 		100
100		99.8		101 		101 		100 		100
100		100		101 		98.8 		100 		100
100		100		98.8 		101 		99.8 		99.9
99.9		99.9		101 		101 		100 		100
100		99.9		98.8 		98.8 		100 		100
100		99.9		101 		101 		100 		100
100		100		98.8 		98.8 		99.9 		100
100		99.9		101 		101 		100 		100
100		100		101 		101 		100 		99.9
100		100		98.8 		98.8 		100 		100
100		99.9		101 		101 		100 		100
99.9		100		101 		98.8 		99.8 		99.9
100		100		98.8 		101 		100 		100
100		99.9		101 		101 		100 		100
100		100		98.8 		98.8 		99.8 		100
99.9		99.7		101 		101 		100 		100
100		100		101 		98.8 		99.9 		99.9
99.9		99.9		98.8 		101 		100 		100
100		100		101 		101 		99.9 		100
100		100		98.8 		98.8 		100 		100
100		99.8		101 		101 		99.9 		100
100		100		101 		98.8 		100 		99.9
100		100		98.8 		101 		99.8 		100
100		99.9		101 		101 		100 		100
99.9		99.9		98.8 		98.8 		99.9 		100
100		100		101 		101 		100 		100
100		99.9		101 		98.8 		100 		100
100		99.9		98.8 		101 		99.8 		100
100		99.9		101 		101 		100 		100
100		100		98.8 		98.8 		99.9 		99.9
99.9		100		101 		101 		100 		100
100		99.9		101 		99.0 		100 		100
100		100		98.8 		101 		100 		100
100		100		101 		101 		99.8 		100
99.9		99.8		98.8 		98.8 		100 		100
100		100		101 		101 		100 		100
99.9		100		101 		101 		100 		100
100		100		98.8 		98.8 		99.9 		99.9
100		100		101 		101 		99.9 		100
100		99.9		98.8 		98.8 		100 		100
100		100		101 		101 		100 		100
100		99.9		101 		101 		100 		100
100		100		98.8 		98.8 		99.8 		99.9
99.9		99.9		101 		101 		100 		100
100		99.8		98.8 		98.8 		100 		100
100		100		101 		101 		100 		100
100		99.9		101 		101 		100 		100
100		100		98.8 		98.8 		100 		100
100		99.8		101 		101 		99.9 		100
100		100		98.8 		98.8 		100 		99.9
99.9		100		101 		101 		99.9 		100
100		99.9		101 		101 		99.9 		100
99.9		100		98.8 		98.8 		100 		100
100		100		101 		101 		100 		100
100		99.9		98.8 		98.8 		99.8 		100
100		99.9		101 		101 		100 		100
100		100		101 		101 		99.8 		100
100		99.9		98.8 		98.8 		100 		100
99.9		100		101 		101 		99.9 		99.9
100		100		98.8 		98.8 		100 		100
100		100		101 		101 		100 		100
100		99.9		101 		101 		100 		100
