[  3] 4.60-4.70 sec  8.75 MBytes   734 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 65585 pps
[  3] 4.70-4.80 sec  8.48 MBytes   712 Mbits/sec   0.025 ms    0/    0 (-nan%) -/-/-/- ms 63477 pps
[  3] 4.80-4.90 sec  8.77 MBytes   735 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 65720 pps
[  3] 4.90-5.00 sec  8.78 MBytes   736 Mbits/sec   0.024 ms    0/    0 (-nan%) -/-/-/- ms 65678 pps
[  3] 5.00-5.10 sec  8.67 MBytes   727 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 64974 pps
[  3] 5.10-5.20 sec  8.71 MBytes   731 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 65179 pps
[  3] 5.20-5.30 sec  8.75 MBytes   734 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 65613 pps
[  3] 5.30-5.40 sec  9.05 MBytes   759 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 67719 pps
[  3] 5.40-5.50 sec  9.18 MBytes   770 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 68673 pps
[  3] 5.50-5.60 sec  9.15 MBytes   768 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 68628 pps
[  3] 5.60-5.70 sec  9.14 MBytes   767 Mbits/sec   0.025 ms    0/    0 (-nan%) -/-/-/- ms 68445 pps
[  3] 5.70-5.80 sec  9.16 MBytes   768 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 68627 pps
[  3] 5.80-5.90 sec  8.83 MBytes   741 Mbits/sec   0.025 ms    0/    0 (-nan%) -/-/-/- ms 66151 pps
[  3] 5.90-6.00 sec  7.13 MBytes   598 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 53410 pps
[  3] 6.00-6.10 sec  9.08 MBytes   761 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 68001 pps
[  3] 6.10-6.20 sec  9.16 MBytes   768 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 68591 pps
[  3] 6.20-6.30 sec  9.21 MBytes   773 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 68974 pps
[  3] 6.30-6.40 sec  9.22 MBytes   774 Mbits/sec   0.012 ms    0/    0 (-nan%) -/-/-/- ms 69148 pps
[  3] 6.40-6.50 sec  9.03 MBytes   757 Mbits/sec   0.016 ms    0/    0 (-nan%) -/-/-/- ms 67600 pps
[  3] 6.50-6.60 sec  8.73 MBytes   732 Mbits/sec   0.014 ms    0/    0 (-nan%) -/-/-/- ms 65989 pps
[  3] 6.80-6.90 sec  4.89 MBytes   410 Mbits/sec   0.029 ms    0/    0 (-nan%) -/-/-/- ms 42463 pps
[  3] 6.90-7.00 sec  7.09 MBytes   595 Mbits/sec   0.025 ms    0/    0 (-nan%) -/-/-/- ms 53138 pps
[  3] 7.00-7.10 sec  8.80 MBytes   738 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 65888 pps
[  3] 7.10-7.20 sec  9.24 MBytes   775 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 69244 pps
[  3] 7.20-7.30 sec  2.21 MBytes   185 Mbits/sec   0.019 ms    0/    0 (-nan%) -/-/-/- ms 69334 pps
[  3] 7.30-7.40 sec  2.24 MBytes   188 Mbits/sec   0.030 ms    0/    0 (-nan%) -/-/-/- ms 9534 pps
[  3] 7.40-7.50 sec  6.75 MBytes   567 Mbits/sec   0.012 ms    0/    0 (-nan%) -/-/-/- ms 50682 pps
[  3] 7.50-7.60 sec  8.47 MBytes   711 Mbits/sec   0.024 ms    0/    0 (-nan%) -/-/-/- ms 63322 pps
[  3] 7.60-7.70 sec  9.21 MBytes   773 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 69123 pps
[  3] 7.70-7.80 sec  9.22 MBytes   773 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 68942 pps
[  3] 7.80-7.90 sec  9.20 MBytes   771 Mbits/sec   0.013 ms    0/    0 (-nan%) -/-/-/- ms 68983 pps
[  3] 7.90-8.00 sec  9.18 MBytes   770 Mbits/sec   0.016 ms    0/    0 (-nan%) -/-/-/- ms 68785 pps
[  3] 8.00-8.10 sec  7.90 MBytes   663 Mbits/sec   0.010 ms    0/    0 (-nan%) -/-/-/- ms 68906 pps
[  3] 8.40-8.50 sec  6.50 MBytes   546 Mbits/sec   0.028 ms    0/    0 (-nan%) -/-/-/- ms 48685 pps
[  3] 8.50-8.60 sec  8.20 MBytes   687 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 61392 pps
[  3] 8.60-8.70 sec  9.24 MBytes   775 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 69251 pps
[  3] 8.70-8.80 sec  9.23 MBytes   774 Mbits/sec   0.019 ms    0/    0 (-nan%) -/-/-/- ms 69168 pps
[  3] 8.80-8.90 sec  9.24 MBytes   775 Mbits/sec   0.019 ms    0/    0 (-nan%) -/-/-/- ms 69186 pps
[  3] 8.90-9.00 sec  9.26 MBytes   777 Mbits/sec   0.010 ms    0/    0 (-nan%) -/-/-/- ms 69352 pps
[  3] 9.00-9.10 sec  9.27 MBytes   778 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 69341 pps
[  3] 9.10-9.20 sec  7.87 MBytes   661 Mbits/sec   0.018 ms    0/    0 (-nan%) -/-/-/- ms 69294 pps
[  3] 9.50-9.60 sec  6.34 MBytes   532 Mbits/sec   0.028 ms    0/    0 (-nan%) -/-/-/- ms 47489 pps
[  3] 9.60-9.70 sec  8.49 MBytes   713 Mbits/sec   0.019 ms    0/    0 (-nan%) -/-/-/- ms 63626 pps
[  3] 9.70-9.80 sec  9.24 MBytes   775 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 69164 pps
[  3] 9.80-9.90 sec  9.23 MBytes   774 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 69003 pps
[  3] 9.90-10.00 sec  9.23 MBytes   774 Mbits/sec   0.042 ms    0/    0 (-nan%) -/-/-/- ms 68951 pps
[  3] 10.00-10.10 sec  8.93 MBytes   749 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 67129 pps
[  3] 10.10-10.20 sec  9.21 MBytes   773 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 68901 pps
[  3] 10.20-10.30 sec  9.17 MBytes   769 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 68751 pps
[  3] 10.30-10.40 sec  9.16 MBytes   768 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 68641 pps
[  3] 10.40-10.50 sec  9.19 MBytes   771 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 68744 pps
[  3] 10.50-10.60 sec  9.17 MBytes   769 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 68654 pps
[  3] 10.60-10.70 sec  9.24 MBytes   775 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 69276 pps
[  3] 10.70-10.80 sec  9.22 MBytes   774 Mbits/sec   0.011 ms    0/    0 (-nan%) -/-/-/- ms 69108 pps
[  3] 10.80-10.90 sec  9.18 MBytes   770 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 68606 pps
[  3] 10.90-11.00 sec  9.23 MBytes   775 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 69253 pps
[  3] 11.00-11.10 sec  9.22 MBytes   774 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 69075 pps
[  3] 11.10-11.20 sec  9.17 MBytes   769 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 68698 pps
[  3] 11.20-11.30 sec  9.24 MBytes   775 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 69126 pps
[  3] 11.30-11.40 sec  9.03 MBytes   757 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 67540 pps
[  3] 11.40-11.50 sec  8.73 MBytes   732 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 65436 pps
[  3] 11.50-11.60 sec  8.72 MBytes   732 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 65410 pps
[  3] 11.60-11.70 sec  8.79 MBytes   737 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 65716 pps
[  3] 11.70-11.80 sec  8.75 MBytes   734 Mbits/sec   0.018 ms    0/    0 (-nan%) -/-/-/- ms 65604 pps
[  3] 11.80-11.90 sec  8.75 MBytes   734 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 65503 pps
[  3] 11.90-12.00 sec  8.80 MBytes   738 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 65924 pps
[  3] 12.00-12.10 sec  8.82 MBytes   740 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 65938 pps
[  3] 12.10-12.20 sec  8.81 MBytes   739 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 66023 pps
[  3] 12.20-12.30 sec  8.82 MBytes   740 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 66000 pps
[  3] 12.30-12.40 sec  8.79 MBytes   737 Mbits/sec   0.024 ms    0/    0 (-nan%) -/-/-/- ms 65850 pps
[  3] 12.40-12.50 sec  8.80 MBytes   738 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 65909 pps
[  3] 12.50-12.60 sec  8.80 MBytes   739 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 65838 pps
[  3] 12.60-12.70 sec  8.81 MBytes   739 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 66077 pps
[  3] 12.70-12.80 sec  8.83 MBytes   741 Mbits/sec   0.017 ms    0/    0 (-nan%) -/-/-/- ms 66187 pps
[  3] 12.80-12.90 sec  8.65 MBytes   725 Mbits/sec   0.024 ms    0/    0 (-nan%) -/-/-/- ms 64622 pps
[  3] 12.90-13.00 sec  8.56 MBytes   718 Mbits/sec   0.024 ms    0/    0 (-nan%) -/-/-/- ms 64185 pps
[  3] 13.00-13.10 sec  8.56 MBytes   718 Mbits/sec   0.015 ms    0/    0 (-nan%) -/-/-/- ms 64221 pps
[  3] 13.10-13.20 sec  8.57 MBytes   719 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 64128 pps
[  3] 13.20-13.30 sec  8.48 MBytes   712 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 63500 pps
[  3] 13.30-13.40 sec  8.55 MBytes   717 Mbits/sec   0.024 ms    0/    0 (-nan%) -/-/-/- ms 63995 pps
[  3] 13.40-13.50 sec  8.55 MBytes   717 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 64027 pps
[  3] 13.50-13.60 sec  8.55 MBytes   717 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 64119 pps
[  3] 14.30-14.40 sec  7.88 MBytes   661 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 58984 pps
[  3] 14.40-14.50 sec  8.98 MBytes   753 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 67260 pps
