404	467	606 	896 	750 	542
405	443	607 	893 	809 	692
401	456	609 	899 	893 	716
403	451	612 	895 	882 	714
403	255	609 	932 	542 	710
403	360	610 	949 	757 	718
406	392	602 	947 	732 	714
408	447	609 	947 	936 	715
408	450	605 	949 	843 	710
404	447	600 	947 	746 	712
406	451	599 	947 	576 	712
407	454	589 	949 	666 	712
406	455	529 	948 	650 	712
406	453	495 	947 	930 	713
405	453	456 	947 	846 	717
406	450	509 	949 	693 	737
406	452	550 	947 	693 	733
400	451	595 	947 	742 	716
401	454	600 	949 	928 	713
400	315	597 	947 	690 	712
400	441	593 	947 	683 	707
397	452	592 	949 	705 	712
401	454	552 	947 	927 	711
402	454	595 	947 	746 	694
398	460	593 	949 	750 	730
399	465	595 	946 	924 	730
402	438	595 	949 	608 	733
403	375	598 	948 	705 	736
402	453	600 	947 	923 	735
400	453	597 	947 	866 	736
402	454	593 	949 	822 	738
400	453	597 	947 	465 	738
400	348	592 	947 	530 	736
401	453	596 	947 	929 	735
402	452	594 	948 	800 	734
402	453	595 	949 	588 	734
403	455	598 	947 	710 	711
400	261	598 	947 	637 	708
397	446	600 	949 	743 	711
401	404	597 	947 	877 	711
401	467	587 	947 	787 	729
403	443	593 	66.9 	473 	733
403	456	596 	557 	834 	735
400	451	594 	949 	693 	736
389	255	594 	947 	903 	733
403	360	597 	945 	731 	734
401	392	593 	947 	762 	712
403	447	597 	947 	835 	735
403	450	596 	949 	826 	736
403	447	597 	947 	280 	727
400	451	597 	518 	768 	731
401	454	562 	112 	799 	734
402	455	509 	916 	845 	759
403	453	507 	948 	831 	770
403	453	503 	948 	750 	768
403	450	480 	946 	674 	767
402	452	594 	949 	831 	768
401	451	593 	947 	812 	741
403	454	592 	949 	680 	598
400	315	596 	947 	752 	761
398	441	592 	242 	570 	768
401	452	591 	490 	421 	773
402	454	588 	949 	775 	774
401	454	587 	947 	747 	757
399	460	421 	947 	767 	732
401	465	531 	949 	920 	410
403	438	581 	947 	930 	595
403	375	580 	947 	371 	738
404	453	588 	947 	542 	775
402	453	588 	673 	664 	185
402	454	588 	645 	500 	188
402	453	590 	948 	775 	567
403	348	590 	948 	708 	711
403	453	416 	947 	570 	773
415	452	489 	948 	321 	773
426	453	578 	948 	835 	771
431	455	534 	948 	657 	770
428	261	540 	946 	754 	663
431	446	514 	947 	405 	546
404	404	436 	949 	666 	687
399	467	592 	947 	896 	775
389	443	590 	947 	784 	774
400	456	557 	948 	453 	775
401	451	500 	948 	328 	777
403	255	487 	947 	640 	778
409	360	537 	947 	571 	661
426	392	573 	949 	924 	532
434	447	590 	947 	759 	713
432	450	591 	947 	542 	775
